Country Name;Country Code;Indicator Name;Indicator Code;Attribute;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Common Reference Period;
Albania;914;Clothing and footwear;PCPIA_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.808333333333;116.366666666667;114.058333333333;112.358333333333;110.216666666667;107.8;103.85;101.9;100.141666666667;99.0701283333333;97.9841035;99.40150775;2015M12;
Albania;914;Clothing and footwear;PCPIA_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Albania;914;Furnishings, household equipment and routine household maintenance;PCPIHO_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.475;96.5666666666667;96.9333333333333;97.4;98.2833333333333;99.6416666666667;100.191666666667;99.625;99.4833333333333;100.228460916667;99.8042671666667;99.7911205;2015M12;
Albania;914;Furnishings, household equipment and routine household maintenance;PCPIHO_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Malaysia;548;Clothing and footwear;PCPIA_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117.011548079109;113.969501332948;111.414962078158;109.201678067329;107.144396453739;105.966011530398;104.579507337526;103.157678197065;102.55715408805;101.603380503145;100;99.7583333333333;99.1916666666667;98.6166666666667;98.425;98.9083333333333;98.525;98.175;96.1666666666667;2010A;
Malaysia;548;Clothing and footwear;PCPIA_IX;Reference Period;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;;
Malaysia;548;Transport;PCPIT_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.4044005102041;76.0716493328101;81.0513294740973;82.4033065149137;82.9844731161695;87.7551020408163;97.393537414966;99.6386054421769;108.487244897959;98.2710884353742;100;104.416666666667;105.141666666667;107.241666666667;112.4;107.316666666667;102.433333333333;115.925;117.675;2010A;
Malaysia;548;Transport;PCPIT_IX;Reference Period;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;;
Malaysia;548;Consumer Price Index, All items, Percentage change, Previous year;PCPI_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.41678473206103;1.80787246281535;1.08967632577285;1.421271159374;2.97507092684451;3.60923564224391;2.02735317779564;5.44078221100773;0.583308405623691;1.62285235577032;3.17447092151308;1.66357102479204;2.10501231233615;3.14299050879107;2.10438980238344;2.09056659525744;3.87120115774241;0.884709160571233;;
Bolivia;218;Alcoholic Beverages, Tobacco, and Narcotics, Percentage change, Previous period;PCPIFBT_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.24119491411315;5.98263526606052;9.32264472689555;11.663396906056;5.25785221561371;16.0035572581748;11.151473692901;7.36826468029118;4.41760717885873;5.87756492768986;1.64303720522768;3.11686484204601;3.01753548034935;;
